Date,y_real,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2022-06-17,0.0021984559627792,-0.043108685819728,-0.0917133671230258,-0.1002744123257479,-0.3802819686399511,0,0
2022-06-21,0.024182461289716,-0.0268006447842839,-0.0431599494833453,-0.0543018816089203,-0.0864372832416946,0,0
2022-06-22,-0.0013024077456519,-0.0387102329542231,-0.0647458202480096,-0.0760607661839227,-0.148598951804374,0,0
2022-06-23,0.0094870756571804,-0.0278421312519802,-0.0432424926432018,-0.0552871247851042,-0.0830639385692955,0,0
2022-06-24,0.0301055370808076,-0.0260630655553884,-0.040732205250813,-0.0516962116319934,-0.0926857721544659,0,0
2022-06-27,-0.0029775042898231,-0.0354253040549701,-0.0572316805432775,-0.0692861723069627,-0.1260829042613634,0,0
2022-06-28,-0.0203486840235508,-0.0267788348925277,-0.0464252158568681,-0.0552303584085045,-0.0843764294131019,0,0
2022-06-29,-0.0007119803149314,-0.0293891197575664,-0.0494368262895147,-0.0607261526696408,-0.0925604214080463,0,0
2022-06-30,-0.0087978674340664,-0.0258933994431593,-0.0453572361871095,-0.0522425712995593,-0.0723549463986492,0,0
2022-07-01,0.0104985124746044,-0.0308827207108475,-0.048218737967979,-0.05928798859831,-0.0983609081672751,0,0
2022-07-05,0.0015828713248562,-0.0199946349687373,-0.0328989382002856,-0.0404230085715483,-0.0697717953740431,0,0
2022-07-06,0.0035667994570309,-0.0184093711732227,-0.0320688925330423,-0.0386625278341743,-0.0624995420059399,0,0
2022-07-07,0.0148537130877496,-0.0190113014421517,-0.0314372243616208,-0.0390804638387637,-0.0580393620817793,0,0
2022-07-08,-0.0008306075842827,-0.0210216868328438,-0.0374790034587988,-0.0456502533822401,-0.0748942108559849,0,0
2022-07-11,-0.0115944302771764,-0.0185511536872263,-0.0320254523146205,-0.0384502344786824,-0.063712328892463,0,0
2022-07-12,-0.009286873074843,-0.0204926178426462,-0.0351929722773999,-0.0424230385418279,-0.0672154209184222,0,0
2022-07-13,-0.0044668590316626,-0.0232021650999447,-0.0406284884537915,-0.0450953544570075,-0.068338530520541,0,0
2022-07-14,-0.0030031265721642,-0.022492056936074,-0.0391760586068765,-0.0443071513661175,-0.0640334238395094,0,0
2022-07-15,0.01901922398955,-0.0221598196104145,-0.0376584210781228,-0.0435419788157356,-0.0619999834627827,0,0
2022-07-18,-0.0083987387394488,-0.0260210519861741,-0.042088718251833,-0.0506326247438235,-0.0954389727352702,0,0
2022-07-19,0.0272535065138845,-0.023260627610619,-0.0342909307699521,-0.0448504139559887,-0.070707877723152,0,0
2022-07-20,0.0058785038672229,-0.0263861903282717,-0.043877992025179,-0.0508483198804482,-0.0771890496015508,0,0
2022-07-21,0.0098130794916121,-0.0193972856943296,-0.0335925174121044,-0.03945444041919,-0.0576949006757352,0,0
2022-07-22,-0.0093762951655582,-0.0209076072887832,-0.0371388155365576,-0.0408561982699572,-0.065024606784615,0,0
2022-07-25,0.0013143016874639,-0.0224871802097437,-0.0367068362521933,-0.0444122980758506,-0.065714031893705,0,0
2022-07-26,-0.0116103581047321,-0.0196703296001896,-0.0322766651460123,-0.0395945232132427,-0.0697703392855766,0,0
2022-07-27,0.0258200593868667,-0.0215627728219609,-0.0369745448109522,-0.0432551384726943,-0.0601278192509326,0,0
2022-07-28,0.012060313867023,-0.0261001387010712,-0.0447938788417518,-0.0504082770222228,-0.0803213739556529,0,0
2022-07-29,0.0141077740936558,-0.0219179644029473,-0.0348492106770313,-0.0422583995845766,-0.0668028837743699,0,0
2022-08-01,-0.0028270629142373,-0.02156136263083,-0.0335916729220271,-0.0419132334455283,-0.0622439436672846,0,0
2022-08-02,-0.006684702672815,-0.0175714792516492,-0.0295507602448221,-0.0348552259052618,-0.052744121197155,0,0
2022-08-03,0.0155174611263976,-0.0201204792528724,-0.0312786274343055,-0.0392953485948611,-0.0698886285900875,0,0
2022-08-04,-0.0007776471578055,-0.0191073074855662,-0.0365923168620616,-0.0391254356130064,-0.0754098950037849,0,0
2022-08-05,-0.0016270690351587,-0.0169807887893962,-0.0301839018095883,-0.033325539034814,-0.0557846751519232,0,0
2022-08-08,-0.001238297131769,-0.016918192896758,-0.0268111417445181,-0.0331048730253216,-0.0581674953844035,0,0
2022-08-09,-0.0042577578379841,-0.0172933808959391,-0.0267222593667568,-0.0333051021143309,-0.0463916292827198,0,0
2022-08-10,0.0210671538964832,-0.0207847364584241,-0.0329305735273074,-0.0399720678281079,-0.059286247491954,0,0
2022-08-11,-0.0007057193998464,-0.0205901471235743,-0.0347553982773707,-0.0397507849510348,-0.0704270932080578,0,0
2022-08-12,0.0171740510461688,-0.0180169789315467,-0.0290281075609674,-0.0340125902948887,-0.0480507407596421,0,0
2022-08-15,0.0039616760588917,-0.0207178891969243,-0.0352615592411779,-0.0402228164498945,-0.0661861938995388,0,0
2022-08-16,0.0018739324596749,-0.0166068149490335,-0.0279911391328062,-0.0328515284667466,-0.0577126801419036,0,0
2022-08-17,-0.0072641250959269,-0.016894744763856,-0.0285244236761304,-0.0330510491110106,-0.0549326132420189,0,0
2022-08-18,0.0022669907213344,-0.0200858669183789,-0.0359052989344244,-0.0395336044774648,-0.0632344329253805,0,0
2022-08-19,-0.0129839160695328,-0.0190330212012559,-0.0297540903147867,-0.0350535271315142,-0.0480195539790421,0,0
2022-08-22,-0.0216323793926438,-0.0221257725849243,-0.0336402620062746,-0.0432405142553619,-0.062105769446213,0,0
2022-08-23,-0.0022403573966938,-0.0222989107141155,-0.0368530449015639,-0.0439738274079112,-0.0639510315345063,0,0
2022-08-24,0.0029119072513373,-0.0182364417332885,-0.0323726259490546,-0.0344251386787854,-0.0445026358919629,0,0
2022-08-25,0.0139932424598033,-0.0188651556000804,-0.0282031612798898,-0.0345455831612658,-0.0479315658451131,0,0
2022-08-26,-0.0342685752082448,-0.0176463645892629,-0.0274712380582656,-0.0342092128483051,-0.0530007148333835,1,1
2022-08-29,-0.0066886740543776,-0.021724815243026,-0.0333467417658236,-0.0439384895865989,-0.0608554589440282,0,0
2022-08-30,-0.0110894176885941,-0.0216541997245356,-0.036732275077289,-0.0438488111145711,-0.0679246337085963,0,0
2022-08-31,-0.0078477351702981,-0.023178328073844,-0.0397506804787865,-0.0444008217998221,-0.077435555248092,0,0
2022-09-01,0.002991752858029,-0.0218480890755975,-0.034786679576349,-0.0413477579664394,-0.0593757149210305,0,0
2022-09-02,-0.0107945556500848,-0.0189832077542349,-0.0294439796104786,-0.035639401902719,-0.0648033291533321,0,0
2022-09-06,-0.0041034727971071,-0.023184556329832,-0.036155369508954,-0.044019522107322,-0.0661201041380285,0,0
2022-09-07,0.0181748549423001,-0.0204407910230176,-0.0321219293146062,-0.0393503274639606,-0.07531213378392,0,0
2022-09-08,0.0065889633010966,-0.0215417137355148,-0.0354149890844466,-0.0409829396897768,-0.0608049996342468,0,0
2022-09-09,0.0151560210544251,-0.0184046061866794,-0.0331500160188991,-0.0351176880077487,-0.0589361773577684,0,0
2022-09-12,0.0105286639524426,-0.0199270998054989,-0.0324108537089683,-0.0386977250184075,-0.0590013694203428,0,0
2022-09-13,-0.0441991842044157,-0.0197176704740396,-0.0330603009538749,-0.0381070797782844,-0.0600326923583735,1,1
2022-09-14,0.0033812971327698,-0.0220137927589,-0.0380837297968965,-0.0441436354895634,-0.0711444469822026,0,0
2022-09-15,-0.0113822690925858,-0.0226684326221515,-0.034896481632663,-0.0435065336721708,-0.0543374283328128,0,0
2022-09-16,-0.0072080447288216,-0.0221215161458048,-0.0394008205866229,-0.0440592920747979,-0.0763611115850802,0,0
2022-09-19,0.0068336939802093,-0.0219472640767881,-0.0367785916301051,-0.0438741631101017,-0.0564943175836158,0,0
2022-09-20,-0.0113361248454044,-0.0204522722693145,-0.0338789457572811,-0.0406232718476103,-0.069691175555819,0,0
2022-09-21,-0.0172646742414051,-0.0231297117620658,-0.0369589795660834,-0.0448321937749923,-0.0703279830500829,0,0
2022-09-22,-0.0084632828832198,-0.0226367756390248,-0.0357085263107231,-0.044445463755712,-0.064667462557205,0,0
2022-09-23,-0.0173828260775679,-0.0242698158506735,-0.0402373296813336,-0.0461044624955539,-0.0705699432563443,0,0
2022-09-26,-0.0103943768659704,-0.0237669826428933,-0.0356971323540045,-0.0456402213748104,-0.0760093240146249,0,0
2022-09-27,-0.0021226109775338,-0.0252357056701886,-0.0381533704835274,-0.0472163694489725,-0.0749629722458585,0,0
2022-09-28,0.0194811443877764,-0.0225288964490037,-0.0349146153526004,-0.0435447406931155,-0.0639824873480851,0,0
2022-09-29,-0.021352776272162,-0.0242748645016645,-0.0369468073989634,-0.046554102832181,-0.0678242782281973,0,0
2022-09-30,-0.0151813643872148,-0.0241360696625395,-0.0358558521881541,-0.0460314740870862,-0.0874310630105319,0,0
2022-10-03,0.0255545737227168,-0.02397539110647,-0.0415223547231833,-0.0459257026724084,-0.0648709713897266,0,0
2022-10-04,0.0301253416720636,-0.0245542488756437,-0.0403575645962227,-0.0470231177711169,-0.0774515625391395,0,0
2022-10-05,-0.0020199869563126,-0.0258501951603158,-0.0419112095637415,-0.0488359229083803,-0.0789739478562547,0,0
2022-10-06,-0.0102979203835742,-0.0226359577641041,-0.0376563752763348,-0.0445547059380389,-0.0685562255490497,0,0
2022-10-07,-0.0284031946425847,-0.0255603285651982,-0.0410111302987834,-0.0478881346341484,-0.0706979141780374,1,0
2022-10-10,-0.0075206677520296,-0.0232055828379383,-0.0387426014209547,-0.0458151996882906,-0.07365992322393,0,0
2022-10-11,-0.0065405170927095,-0.0233346032740106,-0.0359522438035426,-0.0457736285369433,-0.0719319507101272,0,0
2022-10-12,-0.0032962112146206,-0.0231826854964813,-0.0363608663665229,-0.0455343457103629,-0.0599379329602298,0,0
2022-10-13,0.0256342641982721,-0.0237928918850147,-0.0385861669036206,-0.0460586792575318,-0.0867607817886631,0,0
2022-10-14,-0.0239471086142996,-0.0258203147534803,-0.0424017139489895,-0.0488547790096474,-0.0841982123587081,0,0
2022-10-17,0.0261355290028791,-0.0227355134734391,-0.0344150473064545,-0.0452915415270582,-0.0688205358316125,0,0
2022-10-18,0.0113627601815439,-0.0314293880844734,-0.047147333268933,-0.0592282914576723,-0.0868659834805976,0,0
2022-10-19,-0.0066944637671395,-0.0267760134125016,-0.0411326923466237,-0.0545535501521498,-0.0856002955763188,0,0
2022-10-20,-0.0079826914536652,-0.0222304998916075,-0.0387716242178213,-0.0451755960795612,-0.0793546061819783,0,0
2022-10-21,0.0234477678524365,-0.025073581196803,-0.0436229939124287,-0.0480351021756544,-0.0916902593064204,0,0
2022-10-24,0.0118119433940213,-0.0303881520476279,-0.0489351340874147,-0.0573875966177975,-0.0817822324349489,0,0
2022-10-25,0.0161357649037562,-0.0257839768318441,-0.0449766133318694,-0.0527117286629434,-0.0842718233420768,0,0
2022-10-26,-0.0074151378639315,-0.0241615581499231,-0.0436756005560714,-0.0474381686770137,-0.0845358958112634,0,0
2022-10-27,-0.0061011984899029,-0.0248172095245862,-0.0436532611805391,-0.0479712578953471,-0.0676320871466872,0,0
2022-10-28,0.0243280602098276,-0.0248243022282909,-0.0370166579831752,-0.0478045751708866,-0.0670519921836338,0,0
2022-10-31,-0.0074823326001846,-0.025499663985838,-0.0417378588052816,-0.0486902926896165,-0.0700796334214588,0,0
2022-11-01,-0.0041096681568096,-0.0225002795451314,-0.0361981525796529,-0.0458253190116185,-0.0570517555581621,0,0
2022-11-02,-0.0253198553584949,-0.0237668051774313,-0.0379600082657337,-0.0467622429169446,-0.0869400185577542,1,0
2022-11-03,-0.010642409523561,-0.0233367200936655,-0.0401607026033125,-0.0468845882790472,-0.0774016931043968,0,0
2022-11-04,0.0135268083405093,-0.0252399781249343,-0.0430911082627589,-0.0486770863032027,-0.0732570246618595,0,0
2022-11-07,0.0095680618026735,-0.0237212087308789,-0.0378036523531355,-0.0468640042648085,-0.0734523589680526,0,0
2022-11-08,0.0055822937165309,-0.0215418641178127,-0.0361845020826081,-0.0445724235336298,-0.0659556988328214,0,0
2022-11-09,-0.0209967743328018,-0.0200070097349786,-0.0353579201512095,-0.0410211249076633,-0.0607603337486384,1,0
2022-11-10,0.0539525028798192,-0.0253449822029407,-0.0433039322670236,-0.0486300655024363,-0.0874776740107393,0,0
2022-11-11,0.0091983087248665,-0.0300726370680516,-0.0480986707946047,-0.0565729933721805,-0.0738835939889411,0,0
2022-11-14,-0.0089759326207557,-0.0250685401972064,-0.0411576670139408,-0.0502911790442044,-0.0792732477985982,0,0
2022-11-15,0.0086753813075978,-0.0288259248398407,-0.04598137589473,-0.0554764863247982,-0.0879362361541783,0,0
2022-11-16,-0.008286297872085,-0.0238235546601437,-0.0393257244508242,-0.0474248413265902,-0.0820787134076288,0,0
2022-11-17,-0.0030940842852146,-0.0277233308249112,-0.0452222802053772,-0.0535331036362421,-0.0897444576937926,0,0
2022-11-18,0.0047472882102313,-0.0254966794707412,-0.0409413615456872,-0.0506060925826708,-0.0839502002112046,0,0
2022-11-21,-0.0038912633368349,-0.0226842839167441,-0.0379408523510746,-0.0453849898915338,-0.078485399092372,0,0
2022-11-22,0.0134886222164426,-0.025164850432997,-0.0400845955787486,-0.0487662624296028,-0.0941059868141656,0,0
2022-11-23,0.0058972581529978,-0.0219856751045836,-0.03684729279213,-0.0453106878028351,-0.067642567944428,0,0
2022-11-25,-0.0002830861063201,-0.0226023577385191,-0.0362269109878776,-0.0440973967682964,-0.0579580297945874,0,0
2022-11-28,-0.0155647029707974,-0.0242250682757961,-0.0407283162119249,-0.0466394605211231,-0.0701319967985431,0,0
2022-11-29,-0.0015931189130163,-0.0259867074702715,-0.0415894060423173,-0.0495252408182451,-0.0765661005740524,0,0
