Date,y_real,mu_pred,sigma_pred,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2024-10-30,-0.0033056916849058,-0.0008034458274584,0.0058065814869,-0.013909704056325,-0.0218063753823715,-0.0251034722029805,-0.0393820009275317,0,0
2024-10-31,-0.0187901303444788,0.0012157216455595,0.006088059037513,-0.0125571944074712,-0.0216703734898863,-0.0243755013970757,-0.0465980870907857,1,0
2024-11-01,0.0040841563647083,-0.0022979175699877,0.006542883661756,-0.0169286474267752,-0.0247449851874196,-0.0291856366976409,-0.043272795961609,0,0
2024-11-04,-0.0028160512430738,-0.001040047143642,0.0049807418074838,-0.0121509549475247,-0.0174585903415131,-0.0214130636238039,-0.0284346099568412,0,0
2024-11-05,0.0121910442220744,-0.000901045099711,0.0058510694874523,-0.0139503549380368,-0.0218949851982824,-0.0248229643583279,-0.0367217039428072,0,0
2024-11-06,0.0249812684244585,0.0011342056930059,0.0053598029336446,-0.0108949650055411,-0.0164700561317578,-0.0210490533253349,-0.0332495504106573,0,0
2024-11-07,0.0074037611547145,0.0010184015698475,0.005464088064777,-0.0111646171629708,-0.0179057012007707,-0.0213098607256725,-0.0291294662889213,0,0
2024-11-08,0.0037497871280743,-0.0013641542956894,0.0074322707287472,-0.0185393903837068,-0.0295434970047872,-0.0339296461262079,-0.0483445733837069,0,0
2024-11-11,0.0009686010967537,0.0002450333273226,0.0064483078724609,-0.0141285167117854,-0.022751314091568,-0.02609109646868,-0.037793621286376,0,0
2024-11-12,-0.0028968576119681,0.0003245866262048,0.006381585144292,-0.0139003498547277,-0.0210681695696156,-0.0257394412195353,-0.0396709709600342,0,0
2024-11-13,0.0002322093802152,0.0022496350008872,0.0081280121208701,-0.0159724939672532,-0.0271156156112498,-0.0313196965171576,-0.0434040140133756,0,0
2024-11-14,-0.006068115130808,0.0007501900208281,0.0049200479685795,-0.0102139215171839,-0.0161458069493272,-0.0193339738124778,-0.0272582756444797,0,0
2024-11-15,-0.0132914301175246,0.0015581962104978,0.0081106107593979,-0.0166282084057407,-0.0276466618072569,-0.0319510457511478,-0.0451465959918315,0,0
