,date,open,high,low,close,adjusted_close,volume
1096,2021-05-12,4130.5498,4134.73,4056.8799,4063.04,4063.04,4733070000
1097,2021-05-13,4074.99,4131.5801,4074.99,4112.5,4112.5,4779540000
1098,2021-05-14,4129.5801,4183.1299,4129.5801,4173.8501,4173.8501,4008880000
1099,2021-05-17,4169.9199,4171.9199,4142.6899,4163.29,4163.29,4125050000
1100,2021-05-18,4165.9399,4169.1499,4125.9902,4127.8301,4127.8301,4398150000
1101,2021-05-19,4098.4502,4116.9302,4061.4099,4115.6802,4115.6802,4247450000
1102,2021-05-20,4121.9702,4172.7998,4121.9702,4159.1201,4159.1201,3978880000
1103,2021-05-21,4168.6099,4188.7202,4151.7202,4155.8599,4155.8599,3995250000
1104,2021-05-24,4170.1602,4209.52,4170.1602,4197.0498,4197.0498,3684800000
1105,2021-05-25,4205.9399,4213.4199,4182.52,4188.1299,4188.1299,4182250000
1106,2021-05-26,4191.5898,4202.6099,4184.1099,4195.9902,4195.9902,4420890000
1107,2021-05-27,4201.9399,4213.3799,4197.7798,4200.8799,4200.8799,6406310000
1108,2021-05-28,4210.77,4218.3599,4203.5698,4204.1099,4204.1099,4649250000
1109,2021-06-01,4216.52,4234.1201,4197.5898,4202.04,4202.04,5074670000
1110,2021-06-02,4206.8198,4217.3701,4198.27,4208.1201,4208.1201,5833670000
1111,2021-06-03,4191.4302,4204.3901,4167.9302,4192.8501,4192.8501,5587970000
1112,2021-06-04,4206.0498,4233.4502,4206.0498,4229.8901,4229.8901,4139790000
1113,2021-06-07,4229.3398,4232.3398,4215.6602,4226.52,4226.52,4476920000
1114,2021-06-08,4233.8101,4236.7402,4208.4102,4227.2598,4227.2598,4659620000
1115,2021-06-09,4232.9902,4237.0898,4218.7402,4219.5498,4219.5498,4713260000
1116,2021-06-10,4228.5601,4249.7402,4220.3398,4239.1802,4239.1802,4408210000
1117,2021-06-11,4242.8999,4248.3799,4232.25,4247.4399,4247.4399,3815010000
1118,2021-06-14,4248.3101,4255.5898,4234.0698,4255.1499,4255.1499,4151200000
1119,2021-06-15,4255.2798,4257.1602,4238.3501,4246.5898,4246.5898,4048940000
1120,2021-06-16,4248.8701,4251.8901,4202.4502,4223.7002,4223.7002,4538350000
1121,2021-06-17,4220.3701,4232.29,4196.0498,4221.8599,4221.8599,5312680000
1122,2021-06-18,4204.7798,4204.7798,4164.3999,4166.4502,4166.4502,6817010000
1123,2021-06-21,4173.3999,4226.2402,4173.3999,4224.79,4224.79,4128950000
1124,2021-06-22,4224.6099,4255.8398,4217.27,4246.4399,4246.4399,3828390000
1125,2021-06-23,4249.27,4256.6001,4241.4302,4241.8398,4241.8398,3730350000
1126,2021-06-24,4256.9702,4271.2798,4256.9702,4266.4902,4266.4902,3816660000
1127,2021-06-25,4274.4502,4286.1201,4271.1602,4280.7002,4280.7002,7341450000
1128,2021-06-28,4284.8999,4292.1401,4274.6699,4290.6099,4290.6099,4147890000
1129,2021-06-29,4293.21,4300.52,4287.04,4291.7998,4291.7998,3707150000
1130,2021-06-30,4290.6499,4302.4302,4287.96,4297.5,4297.5,4266040000
1131,2021-07-01,4300.73,4320.6602,4300.73,4319.9399,4319.9399,3788230000
1132,2021-07-02,4326.6001,4355.4302,4326.6001,4352.3398,4352.3398,3225840000
1133,2021-07-06,4356.46,4356.46,4314.3701,4343.54,4343.54,4309570000
1134,2021-07-07,4351.0098,4361.8799,4329.79,4358.1299,4358.1299,4037380000
1135,2021-07-08,4321.0698,4330.8799,4289.3701,4320.8198,4320.8198,4347500000
1136,2021-07-09,4329.3799,4371.6001,4329.3799,4369.5498,4369.5498,3531120000
1137,2021-07-12,4372.4102,4386.6802,4364.0298,4384.6299,4384.6299,3384460000
1138,2021-07-13,4381.0698,4392.3701,4366.9199,4369.21,4369.21,3695430000
1139,2021-07-14,4380.1099,4393.6802,4362.3599,4374.2998,4374.2998,4006370000
1140,2021-07-15,4369.02,4369.02,4340.7002,4360.0298,4360.0298,3905230000
1141,2021-07-16,4367.4302,4375.0898,4322.5298,4327.1602,4327.1602,3985700000
1142,2021-07-19,4296.3999,4296.3999,4233.1299,4258.4902,4258.4902,5157660000
1143,2021-07-20,4265.1099,4336.8398,4262.0498,4323.0601,4323.0601,4438270000
1144,2021-07-21,4331.1299,4359.7002,4331.1299,4358.6899,4358.6899,3810280000
1145,2021-07-22,4361.27,4369.8701,4350.0601,4367.48,4367.48,3358300000
1146,2021-07-23,4381.2002,4415.1802,4381.2002,4411.79,4411.79,4540070000
1147,2021-07-26,4409.5801,4422.73,4405.4502,4422.2998,4422.2998,4275630000
1148,2021-07-27,4416.3799,4416.3799,4372.5098,4401.46,4401.46,4241950000
1149,2021-07-28,4402.9502,4415.4702,4387.0098,4400.6401,4400.6401,4215290000
1150,2021-07-29,4403.5898,4429.9702,4403.5898,4419.1499,4419.1499,4044600000
1151,2021-07-30,4395.1201,4412.25,4389.6499,4395.2598,4395.2598,3956740000
1152,2021-08-02,4406.8599,4422.1802,4384.8101,4387.1602,4387.1602,3724090000
1153,2021-08-03,4392.7402,4423.79,4373.0,4423.1499,4423.1499,3965190000
1154,2021-08-04,4415.9502,4416.1699,4400.23,4402.6602,4402.6602,4260760000
1155,2021-08-05,4408.8599,4429.7598,4408.8599,4429.1001,4429.1001,3769410000
1156,2021-08-06,4429.0698,4440.8198,4429.0698,4436.52,4436.52,3451870000
1157,2021-08-09,4437.77,4439.3901,4424.7402,4432.3501,4432.3501,3449280000
1158,2021-08-10,4435.79,4445.21,4430.0298,4436.75,4436.75,3886610000
1159,2021-08-11,4442.1802,4449.4399,4436.4199,4447.7,4447.7,3532560000
1160,2021-08-12,4446.0801,4461.77,4435.96,4460.8301,4460.8301,3375310000
1161,2021-08-13,4464.8398,4468.3701,4460.8198,4468.0,4468.0,3016470000
1162,2021-08-16,4461.6499,4480.2598,4437.6602,4479.71,4479.71,3370640000
1163,2021-08-17,4462.1201,4462.1201,4417.8301,4448.0801,4448.0801,3836960000
1164,2021-08-18,4440.9399,4454.3198,4397.5898,4400.27,4400.27,3755590000
1165,2021-08-19,4382.4399,4418.6099,4367.73,4405.7998,4405.7998,4398410000
1166,2021-08-20,4410.5601,4444.3501,4406.7998,4441.6699,4441.6699,3652610000
1167,2021-08-23,4450.29,4489.8799,4450.29,4479.5298,4479.5298,3576530000
1168,2021-08-24,4484.3999,4492.8101,4482.2798,4486.23,4486.23,3979220000
1169,2021-08-25,4490.4502,4501.71,4485.6602,4496.1899,4496.1899,3444700000
1170,2021-08-26,4493.75,4495.8999,4468.9902,4470.0,4470.0,3263980000
1171,2021-08-27,4474.1001,4513.3301,4474.1001,4509.3701,4509.3701,3331200000
1172,2021-08-30,4513.7598,4537.3599,4513.7598,4528.79,4528.79,3168660000
1173,2021-08-31,4529.75,4531.3901,4515.7998,4522.6802,4522.6802,4290710000
1174,2021-09-01,4528.7998,4537.1099,4522.02,4524.0898,4524.0898,4057340000
1175,2021-09-02,4534.48,4545.8501,4524.6602,4536.9502,4536.9502,3735990000
1176,2021-09-03,4532.4199,4541.4502,4521.2998,4535.4302,4535.4302,3217530000
1177,2021-09-07,4535.3799,4535.3799,4513.0,4520.0298,4520.0298,3822960000
1178,2021-09-08,4518.0898,4521.79,4493.9502,4514.0698,4514.0698,3750880000
1179,2021-09-09,4513.02,4529.8999,4492.0698,4493.2798,4493.2798,3735390000
1180,2021-09-10,4506.9199,4520.4702,4457.6602,4458.5801,4458.5801,3623180000
1181,2021-09-13,4474.8101,4492.9902,4445.7002,4468.73,4468.73,3914220000
1182,2021-09-14,4479.3301,4485.6802,4435.46,4443.0498,4443.0498,3670460000
1183,2021-09-15,4447.4902,4486.8701,4438.3701,4480.7002,4480.7002,4032020000
1184,2021-09-16,4477.0898,4485.8701,4443.7998,4473.75,4473.75,3984560000
1185,2021-09-17,4469.7402,4471.52,4427.7598,4432.9902,4432.9902,7289530000
1186,2021-09-20,4402.9502,4402.9502,4305.9102,4357.73,4357.73,4898070000
1187,2021-09-21,4374.4502,4394.8701,4347.96,4354.1899,4354.1899,3920920000
1188,2021-09-22,4367.4302,4416.75,4367.4302,4395.6401,4395.6401,3939170000
1189,2021-09-23,4406.75,4465.3999,4406.75,4448.98,4448.98,3916350000
1190,2021-09-24,4438.04,4463.1201,4430.27,4455.48,4455.48,3384290000
1191,2021-09-27,4442.1201,4457.2998,4436.1899,4443.1099,4443.1099,4058650000
1192,2021-09-28,4419.54,4419.54,4346.3301,4352.6299,4352.6299,4416550000
1193,2021-09-29,4362.4102,4385.5698,4355.0801,4359.46,4359.46,3712660000
1194,2021-09-30,4370.6699,4382.5498,4306.2402,4307.54,4307.54,4448140000
1195,2021-10-01,4317.1602,4375.1899,4288.52,4357.04,4357.04,4010370000
1196,2021-10-04,4348.8398,4355.5098,4278.9399,4300.46,4300.46,4307870000
1197,2021-10-05,4309.8701,4369.23,4309.8701,4345.7202,4345.7202,3902890000
1198,2021-10-06,4319.5698,4365.5698,4290.4902,4363.5498,4363.5498,4009630000
1199,2021-10-07,4383.73,4429.9702,4383.73,4399.7598,4399.7598,3843740000
