,date,Price,Return,sent_mean,sent_median,sent_std,news_count,frac_neg,frac_pos,frac_neu,sent_se
189,2017-10-03,2534.5801,0.0021565266111236,,,,,,,,
190,2017-10-04,2537.74,0.0012459388786508,,,,,,,,
191,2017-10-05,2552.0701,0.005630912581158,0.014953919,0.014953919,0.0,1.0,0.0,0.0,1.0,0.0
192,2017-10-06,2549.3301,-0.0010742149825776,,,,,,,,
193,2017-10-09,2544.73,-0.0018060647735234,,,,,,,,
194,2017-10-10,2550.6399,0.0023197148651112,0.04739719,0.10071713,0.17489672,4.0,0.0,0.0,1.0,0.0874483585357666
195,2017-10-11,2555.24,0.0018018838416577,-0.14230353,-0.14230353,0.0,1.0,0.0,0.0,1.0,0.0
196,2017-10-12,2550.9299,-0.0016881933457197,,,,,,,,
197,2017-10-13,2553.1699,0.0008777258406303,0.057417676,0.057417676,0.0,1.0,0.0,0.0,1.0,0.0
198,2017-10-16,2557.6399,0.0017492340019317,,,,,,,,
199,2017-10-17,2559.3601,0.0006723471036941,,,,,,,,
200,2017-10-18,2561.26,0.0007420585984038,,,,,,,,
201,2017-10-19,2562.1001,0.000327948842608,-0.012290914,-0.012290914,0.0,1.0,0.0,0.0,1.0,0.0
202,2017-10-20,2575.21,0.0051038104389193,,,,,,,,
203,2017-10-23,2564.98,-0.0039804028670812,-0.009425064,0.17680413,0.40363726,3.0,0.3333333333333333,0.0,0.6666666666666666,0.2330400808306207
204,2017-10-24,2569.1299,0.0016165999499844,,,,,,,,
205,2017-10-25,2557.1499,-0.0046739632938159,-0.16239418,-0.16239418,0.0,1.0,0.0,0.0,1.0,0.0
206,2017-10-26,2560.3999,0.0012701392517657,0.10551555,0.052404597,0.1320901,3.0,0.0,0.0,1.0,0.0762622586065396
207,2017-10-27,2581.0701,0.008040623153835,-0.06449207,-0.06449207,0.0,1.0,0.0,0.0,1.0,0.0
208,2017-10-30,2572.8301,-0.0031975811331539,,,,,,,,
209,2017-10-31,2575.26,0.0009440006422761,0.030954637,0.030954637,0.18984339,2.0,0.0,0.0,1.0,0.1342395458951077
210,2017-11-01,2579.3601,0.0015908450225872,0.13104206,0.13104206,0.2098567,2.0,0.0,0.0,1.0,0.1483910983892014
211,2017-11-02,2579.8501,0.0001899515555592,,,,,,,,
212,2017-11-03,2587.8401,0.003092293097168,-0.89975053,-0.89975053,0.0,1.0,1.0,0.0,0.0,0.0
213,2017-11-06,2591.1299,0.0012704458386463,,,,,,,,
214,2017-11-07,2590.6399,-0.0001891245734074,-0.35892487,-0.35892487,0.17406836,2.0,0.5,0.0,0.5,0.1230849188213659
215,2017-11-08,2594.3799,0.0014426176920764,,,,,,,,
216,2017-11-09,2584.6201,-0.0037689946141806,0.23951848,0.23951848,0.0,1.0,0.0,0.0,1.0,0.0
217,2017-11-10,2582.3,-0.0008980592349132,,,,,,,,
218,2017-11-13,2584.8401,0.0009831745048334,0.12796968,0.12796968,0.10385147,2.0,0.0,0.0,1.0,0.0734340768141983
219,2017-11-14,2578.8701,-0.0023122919097898,,,,,,,,
220,2017-11-15,2564.6201,-0.0055409987791554,-0.018028308,-0.018028308,0.0,1.0,0.0,0.0,1.0,0.0
221,2017-11-16,2585.6399,0.0081626623551657,,,,,,,,
222,2017-11-17,2578.8501,-0.002629418940483,,,,,,,,
223,2017-11-20,2582.1399,0.0012748718542665,-0.15780279,-0.15780279,0.0,1.0,0.0,0.0,1.0,0.0
224,2017-11-21,2599.03,0.0065198247332067,-0.12717372,-0.12717372,0.0797825,2.0,0.0,0.0,1.0,0.056414747380302
225,2017-11-22,2597.0801,-0.0007505230081745,,,,,,,,
226,2017-11-24,2602.4199,0.0020539674496729,,,,,,,,
227,2017-11-27,2601.4199,-0.0003843315900344,0.024749145,-0.07417066,0.19613183,5.0,0.0,0.0,1.0,0.0877128188501599
228,2017-11-28,2627.04,0.0098003257362663,-0.23323922,-0.16884607,0.51803476,4.0,0.25,0.0,0.75,0.2590173780918121
229,2017-11-29,2626.0701,-0.0003692669647343,-0.07130873,-0.07130873,0.053234316,2.0,0.0,0.0,1.0,0.0376423461243755
230,2017-11-30,2647.5801,0.0081575828764134,0.17328931,0.17328931,0.0,1.0,0.0,0.0,1.0,0.0
231,2017-12-01,2642.22,-0.0020265801100901,-0.032034144,-0.032034144,0.0,1.0,0.0,0.0,1.0,0.0
232,2017-12-04,2639.4399,-0.0010527373247774,0.12722367,0.12722367,0.0,1.0,0.0,0.0,1.0,0.0
233,2017-12-05,2629.5701,-0.0037463628058187,,,,,,,,
234,2017-12-06,2629.27,-0.0001141316315457,,,,,,,,
235,2017-12-07,2636.98,0.0029280818451754,0.18599127,0.18599127,0.0,1.0,0.0,0.0,1.0,0.0
236,2017-12-08,2651.5,0.0054911946288446,,,,,,,,
237,2017-12-11,2659.99,0.0031968457929972,,,,,,,,
238,2017-12-12,2664.1101,0.0015477172649141,0.09812928,0.09812928,0.0,1.0,0.0,0.0,1.0,0.0
239,2017-12-13,2662.8501,-0.0004730653041101,,,,,,,,
240,2017-12-14,2652.01,-0.004079172293277,,,,,,,,
241,2017-12-15,2675.8101,0.0089343325667771,-0.016113486,-0.016113486,0.0,1.0,0.0,0.0,1.0,0.0
242,2017-12-18,2690.1599,0.0053484586039528,,,,,,,,
243,2017-12-19,2681.47,-0.0032354826160827,,,,,,,,
244,2017-12-20,2679.25,-0.0008282469992495,0.14430685,0.14430685,0.0,1.0,0.0,0.0,1.0,0.0
245,2017-12-21,2684.5701,0.0019836987987632,0.10012826,0.10012826,0.0,1.0,0.0,0.0,1.0,0.0
246,2017-12-22,2683.3401,-0.0004582789114195,,,,,,,,
247,2017-12-26,2680.5,-0.0010589802128577,,,,,,,,
248,2017-12-27,2682.6201,0.0007906219032597,,,,,,,,
249,2017-12-28,2687.54,0.0018323108752346,,,,,,,,
250,2017-12-29,2673.6101,-0.005196620534056,,,,,,,,
251,2018-01-02,2695.8101,0.0082690963538564,,,,,,,,
252,2018-01-03,2713.0601,0.0063784331462784,0.3731767,0.3731767,0.0,1.0,0.0,1.0,0.0,0.0
253,2018-01-04,2723.99,0.0040205311785456,,,,,,,,
254,2018-01-05,2743.1499,0.0070091414491399,0.33154264,0.33154264,0.0,1.0,0.0,0.0,1.0,0.0
255,2018-01-08,2747.71,0.0016609788380819,0.09493626,0.093822084,0.056871958,4.0,0.0,0.0,1.0,0.0284359790384769
256,2018-01-09,2751.29,0.0013020551030292,,,,,,,,
257,2018-01-10,2748.23,-0.0011128245067883,0.13070874,0.13070874,0.0,1.0,0.0,0.0,1.0,0.0
258,2018-01-11,2767.5601,0.0070090336233182,,,,,,,,
259,2018-01-12,2786.24,0.0067269149427583,,,,,,,,
260,2018-01-16,2776.4199,-0.0035307246454015,,,,,,,,
261,2018-01-17,2802.5601,0.0093710288597916,,,,,,,,
