Date,y_real,VaR_95,ES_95,VaR_99,ES_99
2022-04-29,-0.03695915392332947,-0.01885181226199087,-0.031974783631579504,-0.03681263598700286,-0.060334008663413125
2022-05-02,0.005659197568658232,-0.020742744006460628,-0.03987001450546009,-0.043392761777892315,-0.06451914071079383
2022-05-03,0.004825465616761077,-0.01905539321905734,-0.032366754035147924,-0.0382973879265182,-0.06100650363797794
2022-05-04,0.029425211792711823,-0.018693953372493532,-0.03234134120822325,-0.0377393145228041,-0.05283291202073129
2022-05-05,-0.036300676621782775,-0.022183843739385777,-0.03757545614118482,-0.0443797150108903,-0.09740681368746136
2022-05-06,-0.005690390879591651,-0.020434579243032488,-0.033920574514217205,-0.04307456297065658,-0.06044991398953621
2022-05-09,-0.03256150648250866,-0.021151971089876292,-0.035745868558089824,-0.04305133914843712,-0.06902980466682333
2022-05-10,0.0024548671098168664,-0.020391105982121696,-0.036633247191247026,-0.04397184736367998,-0.07229404133697469
2022-05-11,-0.016600227932322038,-0.018535553734713432,-0.029746044475820913,-0.03854513971213731,-0.05704178057625478
2022-05-12,-0.001296791387616073,-0.020471672101775282,-0.03470701019834908,-0.04360203156282082,-0.06396166887692105
2022-05-13,0.023589264235278046,-0.01983502310404305,-0.03276902592143796,-0.04020977193738533,-0.0589672303445854
2022-05-16,-0.003954212798702348,-0.023574399819769744,-0.03962617283017509,-0.04758114730832981,-0.06867946288144709
2022-05-17,0.019968922591194902,-0.022462134821181843,-0.038306477293108265,-0.045420281580615326,-0.08188417310094158
2022-05-18,-0.04123381792847181,-0.02330157922927939,-0.04192336185114502,-0.046948119187411055,-0.07446776241263219
2022-05-19,-0.005850866727327065,-0.04564666068153,-0.08514180662992119,-0.10007277493021671,-0.16809455316428484
2022-05-20,0.00014613920360614753,-0.04265700318177471,-0.07636270404874597,-0.08698111963058093,-0.15200656136114785
2022-05-23,0.01838499731444223,-0.03114605618350296,-0.055944274148357856,-0.06263716138929969,-0.10421199762101709
2022-05-24,-0.008153945948249348,-0.04447882537053548,-0.0713468037993448,-0.08835077853924664,-0.1704463510474866
2022-05-25,0.009406385602538606,-0.03161192880257439,-0.04833847227746295,-0.06218645740124524,-0.0834490061404746
2022-05-26,0.01968816408299731,-0.026146061354927537,-0.044115490619118854,-0.051904549416865446,-0.07984155590210766
2022-05-27,0.024441118944911626,-0.04484071179516434,-0.08126227052392941,-0.08970762770890991,-0.16477074495515104
2022-05-31,-0.006294127494147463,-0.05319919979686663,-0.10605191407423982,-0.1251049998799006,-0.40514328689656803
2022-06-01,-0.007510899711666156,-0.050135590411097844,-0.10445763335669513,-0.12316188179735758,-0.20685098174280475
2022-06-02,0.018263214854883702,-0.050910501282135326,-0.09535126483606421,-0.12266032562223352,-0.1823576683846922
2022-06-03,-0.01648240931908153,-0.051444858990317296,-0.1203399606065089,-0.12036850108761438,-0.21797765154621615
2022-06-06,0.003132504790968752,-0.04670015130182547,-0.12888170360322748,-0.11565353569909528,-0.27123299827806824
2022-06-07,0.009478331476285417,-0.03974877466022269,-0.08031997193794181,-0.09668987047875023,-0.16130948711767726
2022-06-08,-0.010852633606485144,-0.0349964995461523,-0.07348495728283237,-0.08627969542646596,-0.17181033630971798
2022-06-09,-0.02408644504461616,-0.025875130237927545,-0.04593144061946768,-0.05243685827501547,-0.08841282148829596
2022-06-10,-0.029542424589107386,-0.02965459068898511,-0.055245462524062934,-0.0615865934131358,-0.08966928975547693
2022-06-13,-0.03953992550362897,-0.03460629823148976,-0.0598275082859869,-0.07269972907499281,-0.11999252275511717
2022-06-14,-0.0037808173946970044,-0.045819325594471834,-0.08108096605049936,-0.11080561412609927,-0.21418512617767604
2022-06-15,0.014487056184644877,-0.04383444101816582,-0.08932428084870149,-0.104882328650415,-0.19995056892922888
2022-06-16,-0.033052215017083934,-0.03852645467679541,-0.07424352657216367,-0.09101496358570257,-0.16843027790856238
2022-06-17,0.002198455962779235,-0.04310868581972807,-0.09171336712302582,-0.10027441232574795,-0.3802819686399511
2022-06-21,0.02418246128971606,-0.026800644784283956,-0.043159949483345325,-0.05430188160892031,-0.08643728324169467
